date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2005-12-01,BE,17,0,36,30,0,0,0,98,90,86,51
2006-01-01,BE,31,0,48,19,36,0,0,75,81,68,47
2006-02-01,BE,27,0,49,20,42,0,0,83,91,69,49
2006-03-01,BE,27,0,46,0,0,0,0,77,84,74,54
2006-04-01,BE,32,0,36,41,29,42,0,80,82,70,50
2006-05-01,BE,25,0,49,29,0,0,0,77,84,71,48
2006-06-01,BE,40,0,48,36,37,21,0,71,76,68,46
2006-07-01,BE,43,0,44,32,19,59,0,69,80,68,46
2006-08-01,BE,34,0,43,46,21,38,0,77,84,75,52
2006-09-01,BE,32,0,47,0,37,35,0,71,81,71,46
2006-10-01,BE,30,0,50,25,9,19,0,79,84,73,48
2006-11-01,BE,25,0,45,13,8,16,0,85,95,84,56
2006-12-01,BE,19,0,28,38,18,0,0,95,82,85,49
2007-01-01,BE,22,0,34,21,9,11,0,75,79,70,50
2007-02-01,BE,23,0,34,37,25,36,0,72,81,73,49
2007-03-01,BE,29,0,43,29,20,0,0,71,70,74,46
2007-04-01,BE,33,0,46,26,0,20,0,66,70,69,46
2007-05-01,BE,27,0,33,23,18,24,0,72,69,70,44
2007-06-01,BE,29,0,39,28,17,0,0,70,72,74,47
2007-07-01,BE,41,0,44,24,26,29,0,66,71,64,44
2007-08-01,BE,36,0,39,40,35,27,0,70,79,66,52
2007-09-01,BE,27,0,35,28,26,0,0,72,69,68,47
2007-10-01,BE,27,0,38,18,23,0,0,71,69,63,48
2007-11-01,BE,21,0,30,13,21,0,0,72,71,68,49
2007-12-01,BE,24,0,34,22,46,21,0,81,73,74,52
2008-01-01,BE,23,0,41,13,14,10,0,63,66,60,40
2008-02-01,BE,24,0,35,17,18,18,0,62,73,56,44
2008-03-01,BE,24,0,36,23,22,20,0,64,66,55,44
2008-04-01,BE,25,0,37,42,29,11,0,61,66,58,42
2008-05-01,BE,33,0,38,33,28,23,0,61,60,60,40
2008-06-01,BE,26,0,37,26,21,26,0,56,63,52,43
2008-07-01,BE,39,0,35,27,38,34,0,54,55,48,38
2008-08-01,BE,29,0,33,28,14,27,0,59,59,52,44
2008-09-01,BE,26,0,32,14,19,11,0,56,55,47,40
2008-10-01,BE,27,0,32,14,24,0,0,60,61,51,43
2008-11-01,BE,20,0,26,13,14,12,0,63,63,58,43
2008-12-01,BE,20,0,23,13,0,0,0,69,62,63,45
2009-01-01,BE,23,0,28,10,20,12,0,56,55,47,36
2009-02-01,BE,22,0,31,15,17,23,0,57,60,51,43
2009-03-01,BE,21,0,30,19,8,0,0,53,58,47,40
2009-04-01,BE,45,0,31,27,18,18,0,53,57,41,38
2009-05-01,BE,36,0,30,13,15,20,0,51,56,43,38
2009-06-01,BE,41,0,37,22,22,8,0,50,53,42,33
2009-07-01,BE,49,0,37,31,8,29,0,47,55,41,33
2009-08-01,BE,47,0,38,23,12,23,0,52,55,42,42
2009-09-01,BE,36,0,35,27,18,22,0,51,55,42,36
2009-10-01,BE,40,0,31,5,13,5,0,56,60,42,38
2009-11-01,BE,35,0,33,14,10,11,0,59,62,48,39
2009-12-01,BE,32,0,25,8,9,0,0,66,56,53,39
2010-01-01,BE,43,0,29,15,9,22,0,52,54,41,34
2010-02-01,BE,43,0,30,15,13,5,0,53,55,36,36
2010-03-01,BE,42,0,30,15,23,13,0,49,53,39,36
2010-04-01,BE,64,0,35,28,20,20,0,45,48,36,34
2010-05-01,BE,49,0,37,14,18,24,0,50,52,38,36
2010-06-01,BE,48,0,33,19,17,20,0,45,48,40,33
2010-07-01,BE,55,72,29,26,17,19,66,40,42,32,31
2010-08-01,BE,36,57,27,20,26,27,37,46,47,33,37
2010-09-01,BE,28,49,27,16,17,6,62,46,45,31,33
2010-10-01,BE,27,48,23,14,16,15,42,47,46,31,32
2010-11-01,BE,26,40,21,11,15,10,28,51,51,38,33
2010-12-01,BE,20,39,22,8,14,7,36,59,47,44,35
2011-01-01,BE,24,44,23,14,18,9,32,55,59,41,42
2011-02-01,BE,25,44,22,9,15,12,30,61,63,36,41
2011-03-01,BE,28,50,29,17,15,7,13,56,59,38,42
2011-04-01,BE,32,51,29,12,22,15,39,52,54,40,41
2011-05-01,BE,28,54,27,14,24,13,23,55,57,40,44
2011-06-01,BE,32,54,28,19,17,19,15,56,58,43,44
2011-07-01,BE,35,52,23,20,20,31,33,53,53,36,43
2011-08-01,BE,31,49,24,10,18,10,0,59,58,41,45
2011-09-01,BE,30,47,28,16,12,14,0,55,56,40,44
2011-10-01,BE,32,45,23,16,14,10,16,60,60,44,45
2011-11-01,BE,28,45,26,14,19,5,25,65,61,56,45
2011-12-01,BE,22,39,21,7,11,0,28,74,61,59,46
2012-01-01,BE,23,46,23,12,10,7,38,57,54,46,44
2012-02-01,BE,25,46,28,11,17,14,22,60,59,41,43
2012-03-01,BE,27,47,28,15,17,17,23,56,54,42,42
2012-04-01,BE,34,53,29,13,17,19,20,60,57,45,47
2012-05-01,BE,31,49,26,12,21,12,43,56,54,45,44
2012-06-01,BE,34,56,31,16,20,19,39,55,57,44,43
2012-07-01,BE,40,58,28,17,20,22,57,51,54,42,41
2012-08-01,BE,34,50,30,14,19,21,21,51,54,42,43
2012-09-01,BE,34,48,30,11,16,10,42,54,55,44,42
2012-10-01,BE,32,45,24,7,13,10,29,59,55,42,41
2012-11-01,BE,27,42,24,11,18,10,48,61,59,48,44
2012-12-01,BE,22,34,20,10,14,0,37,70,56,59,42
2013-01-01,BE,24,43,22,13,18,10,37,59,55,45,40
2013-02-01,BE,26,42,23,8,19,15,8,61,59,41,46
2013-03-01,BE,29,46,25,11,17,6,33,60,55,42,46
2013-04-01,BE,29,45,26,11,18,13,22,57,55,43,42
2013-05-01,BE,32,50,26,17,19,18,31,60,55,43,44
2013-06-01,BE,38,48,24,13,22,18,36,55,54,42,42
2013-07-01,BE,49,59,28,17,16,18,47,49,47,43,44
2013-08-01,BE,41,54,24,12,20,22,52,56,57,42,43
2013-09-01,BE,35,51,30,8,20,10,38,54,54,42,39
2013-10-01,BE,37,48,25,10,16,8,44,61,52,45,45
2013-11-01,BE,29,40,26,6,9,12,31,65,58,52,48
2013-12-01,BE,25,37,22,10,13,3,43,76,53,61,43
2014-01-01,BE,25,43,23,10,14,6,46,62,54,43,42
2014-02-01,BE,26,45,26,9,16,10,36,58,53,40,37
2014-03-01,BE,32,47,26,9,12,15,19,47,44,37,32
2014-04-01,BE,43,52,25,14,13,21,34,49,44,40,35
2014-05-01,BE,36,53,28,13,17,17,31,48,46,39,37
2014-06-01,BE,38,74,32,17,18,29,71,43,40,38,32
2014-07-01,BE,48,73,32,17,25,38,68,44,42,38,34
2014-08-01,BE,48,58,27,12,22,27,42,47,45,33,35
2014-09-01,BE,35,47,24,10,15,15,35,42,40,32,30
2014-10-01,BE,41,50,25,11,16,11,26,47,43,36,32
2014-11-01,BE,28,43,26,12,17,11,37,48,45,38,32
2014-12-01,BE,28,38,21,9,11,9,27,56,40,48,32
2015-01-01,BE,31,45,24,11,16,13,50,44,39,33,30
2015-02-01,BE,30,44,24,10,13,12,40,44,43,30,31
2015-03-01,BE,30,47,25,11,14,15,39,46,42,33,32
2015-04-01,BE,41,54,25,15,14,17,7,42,40,33,31
2015-05-01,BE,37,53,26,12,16,21,35,44,41,36,31
2015-06-01,BE,37,54,24,14,16,17,39,42,40,32,29
2015-07-01,BE,48,62,28,11,16,25,64,40,41,35,30
2015-08-01,BE,46,61,25,17,14,19,35,40,41,32,32
2015-09-01,BE,34,48,26,11,18,5,31,40,37,31,30
2015-10-01,BE,37,49,27,13,12,12,34,44,40,31,31
2015-11-01,BE,29,50,34,12,13,8,94,44,38,36,30
2015-12-01,BE,26,34,21,10,13,5,23,51,38,41,30
2016-01-01,BE,28,42,23,9,16,15,25,60,53,43,44
2016-02-01,BE,26,40,26,9,18,10,43,66,57,40,43
2016-03-01,BE,36,100,100,13,21,13,95,59,53,41,44
2016-04-01,BE,31,43,25,14,11,18,43,57,57,41,43
2016-05-01,BE,37,46,22,11,17,17,36,58,55,45,43
2016-06-01,BE,36,55,28,13,21,21,48,59,55,42,46
2016-07-01,BE,43,51,23,13,19,22,36,53,51,46,45
2016-08-01,BE,40,46,22,12,14,19,42,55,55,44,45
2016-09-01,BE,34,42,21,12,14,8,46,54,53,42,42
2016-10-01,BE,37,43,21,12,14,7,33,61,57,46,46
2016-11-01,BE,32,38,20,10,11,4,35,67,58,49,46
2016-12-01,BE,22,34,21,6,6,8,26,74,56,61,44
2017-01-01,BE,28,0,23,10,0,12,20,62,54,43,45
2017-02-01,BE,28,0,23,11,0,12,48,65,58,42,46
2017-03-01,BE,32,0,28,15,0,11,31,59,56,45,49
2017-04-01,BE,42,0,27,10,0,20,34,61,59,52,51
2017-05-01,BE,34,0,25,15,0,20,40,61,57,54,52
2017-06-01,BE,36,0,27,18,0,14,23,61,61,55,51
2017-07-01,BE,50,0,27,15,0,20,50,57,62,56,57
2017-08-01,BE,45,0,25,13,0,17,41,63,65,55,57
2017-09-01,BE,32,0,25,15,0,13,17,62,60,52,51
2017-10-01,BE,35,0,27,7,0,16,30,68,60,55,62
2017-11-01,BE,28,0,23,10,0,5,34,72,62,61,55
2017-12-01,BE,28,0,23,13,0,8,41,83,66,76,58
2018-01-01,BE,29,0,23,10,0,14,19,65,64,54,63
2018-02-01,BE,28,0,24,11,0,11,19,69,62,47,58
2018-03-01,BE,35,0,27,13,0,18,35,67,65,55,67
2018-04-01,BE,45,0,27,11,0,14,43,65,62,58,60
2018-05-01,BE,39,0,27,11,0,21,40,65,64,63,65
2018-06-01,BE,48,0,31,15,0,27,43,65,63,55,60
2018-07-01,BE,56,0,39,16,0,51,100,62,63,62,63
2018-08-01,BE,52,0,26,10,0,17,35,64,66,58,67
2018-09-01,BE,37,0,29,8,0,11,39,66,62,53,61
2018-10-01,BE,36,0,25,10,0,10,39,69,65,55,66
2018-11-01,BE,28,0,24,11,0,9,30,75,68,62,67
2018-12-01,BE,26,0,22,11,0,7,24,89,71,82,76
2019-01-01,BE,28,0,21,10,0,16,28,74,69,57,66
2019-02-01,BE,28,0,23,11,0,15,40,74,67,55,67
2019-03-01,BE,29,0,25,9,0,13,21,69,69,57,74
2019-04-01,BE,32,0,22,11,0,17,30,71,68,64,68
2019-05-01,BE,34,0,30,13,0,18,33,69,74,62,71
2019-06-01,BE,42,0,27,13,0,20,35,71,72,68,75
2019-07-01,BE,47,0,26,14,0,27,20,66,66,65,75
2019-08-01,BE,45,0,25,19,0,21,28,72,77,63,79
2019-09-01,BE,30,0,26,11,0,12,40,67,66,60,69
2019-10-01,BE,35,0,24,14,0,9,43,75,71,64,79
2019-11-01,BE,30,0,23,14,0,8,27,75,73,73,79
2019-12-01,BE,28,0,22,12,0,8,25,92,74,86,85
